,mol,smiles,quality,QED,SA
0,FPZ,c1ccc(P(c2ccccc2)c2ccccc2)cc1,262.29200000000003,0.6342115735160806,7.347865087395867
1,29B,Fc1ccc(-c2c[nH]nc2-c2ccncc2)cc1,239.25300000000001,0.7452105874269561,6.961304699562558
2,QWS,CC(C)Oc1ccc2cccc(-n3cc(NC(N)=O)c(C(N)=O)n3)c2c1,353.3820000000001,0.650918768419637,7.563688637787201
3,A4W,O=C(CCS)Nc1cccc(Cl)c1F,233.695,0.7727564196825878,6.639028032083145
4,AUT,CCc1ccccc1-c1c(Cl)cc(CN)cc1Cl,280.19800000000004,0.867389884033661,7.338421720820259
5,503,COc1[nH]c2ccc(F)cc2c1C(=O)OCC1CCN(CCNS(=O)(=O)c2ccccc2)CC1,489.56900000000036,0.4480749375043732,6.9481504656141055
6,mol.csv,,0.0,0.0,0.0
7,78W,CS/C(=N/c1ccc(Cl)cc1)NC(=O)c1c(F)cccc1Cl,357.2370000000001,0.6127478310948345,6.6729861003431745
8,FQD,O=c1[nH]cnc2scc(-c3ccc(F)cc3)c12,246.26600000000002,0.7172394746153423,6.139393243550458
9,3YY,O=C1NC(=O)[C@@H](c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)N1,336.32599999999996,0.7218891010014391,7.4521377819192125
10,AGX,C[C@H](OC(=O)Nc1ccc(Cl)c(Cl)c1)c1nc2ccccc2[nH]1,350.20500000000015,0.6839630802238793,7.382712855967945
11,AAK,CCC(=O)N1CCN(C(=O)OC(C)(C)C)c2ccccc21,290.36299999999994,0.7978333022162978,7.7968472367462365
